,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
560,26.94,6.06,27.06,1.2,393000000,14.525506993737,293000000,122.017666381987
561,26.94,6.06,27.06,1.3,396000000,14.377256599972,296000000,114.230290627742
562,26.94,6.06,27.06,1.4,399000000,14.215874591615,299000000,105.335674877676
564,26.94,6.06,27.18,1,386000000,14.950333299942,286000000,110.828761536695
565,26.94,6.06,27.18,1.1,389000000,14.829294040809,289000000,120.245273807529
566,26.94,6.06,27.18,1.2,392000000,14.688446490184,292000000,119.791307436434
567,26.94,6.06,27.18,1.3,395000000,14.532238771933,295000000,110.128524627062
568,26.94,6.06,27.18,1.4,398000000,14.364435434719,298000000,102.467425912406
570,26.94,6.06,27.3,1,385000000,15.132310905106,285000000,116.357844994476
571,26.94,6.06,27.3,1.1,388000000,14.99964079304,288000000,121.55182987315
572,26.94,6.06,27.3,1.2,391000000,14.848942937933,291000000,115.757432513753
573,26.94,6.06,27.3,1.3,394000000,14.684606580006,294000000,106.789554752001
574,26.94,6.06,27.3,1.4,398000000,14.527266436907,298000000,104.293453925269
576,26.94,6.18,26.7,1,388000000,14.394880019434,288000000,105.558858685245
577,26.94,6.18,26.7,1.1,392000000,14.286469452853,292000000,107.209700751845
578,26.94,6.18,26.7,1.2,395000000,14.173802333665,295000000,114.986627823915
579,26.94,6.18,26.7,1.3,398000000,14.039262114846,298000000,116.229662584256
580,26.94,6.18,26.7,1.4,401000000,13.887205016213,301000000,111.064531161797
582,26.94,6.18,26.82,1,388000000,14.558502034954,288000000,103.853713215679
583,26.94,6.18,26.82,1.1,391000000,14.46153382098,291000000,111.752032068758
584,26.94,6.18,26.82,1.2,394000000,14.339291092121,294000000,119.142553444631
585,26.94,6.18,26.82,1.3,397000000,14.19665777437,297000000,116.07668508877
586,26.94,6.18,26.82,1.4,400000000,14.037952488463,300000000,107.167375787699
588,26.94,6.18,26.94,1,387000000,14.745399454374,287000000,107.882334608675
589,26.94,6.18,26.94,1.1,390000000,14.636913305336,290000000,117.095087694736
590,26.94,6.18,26.94,1.2,393000000,14.504711803987,293000000,121.219826180477
591,26.94,6.18,26.94,1.3,396000000,14.353687438825,296000000,112.083637869461
592,26.94,6.18,26.94,1.4,399000000,14.188106530068,299000000,103.737892285541
594,26.94,6.18,27.06,1,386000000,14.932279715159,286000000,112.73635152151
595,26.94,6.18,27.06,1.1,389000000,14.811765995832,289000000,122.357707037142
596,26.94,6.18,27.06,1.2,392000000,14.669210790665,292000000,118.019258429205
597,26.94,6.18,27.06,1.3,395000000,14.509497131815,295000000,108.146082751978
598,26.94,6.18,27.06,1.4,398000000,14.336822997005,298000000,101.012248998292
600,26.94,6.18,27.18,1,385000000,15.11797744871,285000000,118.46209739499
601,26.94,6.18,27.18,1.1,388000000,14.984901360468,288000000,122.882869710278
602,26.94,6.18,27.18,1.2,391000000,14.831588017513,291000000,113.589845685142
603,26.94,6.18,27.18,1.3,394000000,14.662890593482,294000000,104.991345873362
604,26.94,6.18,27.18,1.4,398000000,14.496505915085,298000000,102.598922557583
606,26.94,6.18,27.3,1,384000000,15.30087778405,284000000,122.41047039411
607,26.94,6.18,27.3,1.1,387000000,15.154683468431,287000000,119.454748813351
608,26.94,6.18,27.3,1.2,390000000,14.990204296144,290000000,109.874755548345
609,26.94,6.18,27.3,1.3,394000000,14.823777883196,294000000,106.92756793596
